canonical_row_position,id,item,conditions,list,annotation,trials,size_A,size_B,size_C,size_D,size_E,size_F,color_A,color_B,color_C,color_D,color_E,color_F,form_A,form_B,form_C,form_D,form_E,form_F,sharpness,combination,relevant_property,stimulus_row_index,trials_raw_stimulus,D,C,F,noun,sharpness_raw_stimulus
5601,70,21,zrdc,2,CF,8,10,10,9,9,10,1,black,green,green,green,green,green,heart,diamond,triangle,triangle,heart,star,sharp,dimension_color,second,79,8,NR-A,R-EF,,Aufkleber,sharp
5602,70,26,brdf,2,C,3,9,10,1,1,10,1,green,grey,brown,brown,brown,blue,diamond,star,diamond,diamond,star,star,sharp,dimension_form,both,209,3,BR-B,,BR-EB,Aufkleber,sharp
5603,70,27,brdc,2,CF,2,9,9,2,1,10,2,brown,green,brown,brown,green,green,quadrat,quadrat,quadrat,diamond,circle,quadrat,sharp,dimension_color,both,235,2,BR-A,BR-CF,,Aufkleber,sharp
5604,70,20,brdf,2,CF,3,9,9,1,3,10,3,green,orange,green,blue,green,black,quadrat,circle,quadrat,quadrat,circle,circle,sharp,dimension_form,both,47,3,BR-B,,BR-DC,Aufkleber,sharp
5605,70,14,zrcf,2,F,7,9,9,2,9,10,3,black,black,black,black,black,grey,quadrat,star,star,star,star,star,sharp,color_form,second,123,7,,NR-ED,R-DE,Aufkleber,sharp
5606,70,4,zrdf,2,F,9,9,10,10,10,9,2,black,grey,brown,orange,blue,green,circle,diamond,diamond,diamond,diamond,diamond,sharp,dimension_form,second,89,9,NR-A,,R-BC,Aufkleber,sharp
5607,70,16,zrdc,2,C,8,10,9,10,10,9,2,grey,blue,blue,blue,blue,blue,star,star,quadrat,triangle,quadrat,quadrat,sharp,dimension_color,second,178,8,NR-B,R-DA,,Aufkleber,sharp
5608,70,21,brdc,2,CF,2,9,9,3,2,9,2,black,green,black,black,green,green,star,quadrat,diamond,quadrat,quadrat,triangle,sharp,dimension_color,both,73,2,BR-A,BR-EF,,Aufkleber,sharp
5609,70,5,zrdc,2,C,8,10,10,9,9,10,3,grey,black,black,black,black,black,heart,star,quadrat,circle,star,star,sharp,dimension_color,second,115,8,NR-B,R-DE,,Aufkleber,sharp
5610,70,22,zrcf,2,CF,7,3,3,9,1,3,2,brown,brown,brown,brown,brown,orange,diamond,circle,circle,circle,circle,circle,sharp,color_form,second,105,7,,NR-CB,R-CB,Aufkleber,sharp
5611,70,25,zrcf,2,CF,7,3,10,10,9,2,1,grey,grey,grey,grey,grey,blue,quadrat,triangle,triangle,triangle,triangle,triangle,sharp,color_form,second,186,7,,NR-DA,R-DA,Aufkleber,sharp
5612,70,15,brdf,2,CF,3,10,10,3,3,10,3,grey,brown,blue,black,brown,orange,heart,triangle,heart,heart,triangle,triangle,sharp,dimension_form,both,146,3,BR-B,,BR-FA,Aufkleber,sharp
5613,70,6,brcf,2,CF,1,3,2,3,2,10,1,green,green,blue,blue,green,blue,heart,triangle,heart,heart,triangle,triangle,sharp,color_form,both,135,1,,BR-FA,BR-FA,Aufkleber,sharp
5614,70,17,brcf,2,CF,1,3,2,1,9,3,9,black,black,orange,orange,black,orange,star,diamond,star,star,diamond,diamond,sharp,color_form,both,198,1,,BR-EB,BR-BE,Aufkleber,sharp
5615,70,19,zrcf,2,F,7,3,1,9,2,9,9,orange,orange,orange,orange,orange,blue,diamond,triangle,triangle,triangle,triangle,triangle,sharp,color_form,second,24,7,,NR-BA,R-BA,Aufkleber,sharp
5616,70,6,zrcf,2,F,7,9,9,1,1,9,1,green,green,green,green,green,blue,heart,triangle,triangle,triangle,triangle,triangle,sharp,color_form,second,141,7,,NR-FA,R-FA,Aufkleber,sharp
5617,70,8,brdc,2,CF,2,9,10,1,3,9,2,orange,black,orange,orange,black,black,quadrat,quadrat,quadrat,circle,star,circle,sharp,dimension_color,both,190,2,BR-B,BR-BE,,Aufkleber,sharp
5618,70,14,ercf,2,C,4,9,10,10,9,3,10,black,grey,grey,grey,grey,grey,quadrat,quadrat,quadrat,quadrat,quadrat,star,sharp,color_form,first,120,4,,R-ED,NR-DE,Aufkleber,sharp
5619,70,19,brcf,2,CF,1,9,2,3,1,9,2,blue,blue,orange,orange,blue,orange,diamond,triangle,diamond,diamond,triangle,triangle,sharp,color_form,both,18,1,,BR-AB,BR-BA,Aufkleber,sharp
5620,70,19,ercf,2,C,4,3,3,2,3,2,10,blue,orange,orange,orange,orange,orange,diamond,diamond,diamond,diamond,diamond,triangle,sharp,color_form,first,21,4,,R-AB,NR-BA,Aufkleber,sharp
5621,70,2,brdc,2,CF,2,10,10,2,3,9,3,brown,grey,brown,brown,grey,grey,star,triangle,diamond,quadrat,triangle,triangle,sharp,dimension_color,both,28,2,BR-B,BR-CD,,Aufkleber,sharp
5622,70,16,erdc,2,CF,5,9,1,1,3,2,2,grey,grey,grey,grey,grey,blue,diamond,diamond,diamond,quadrat,diamond,quadrat,sharp,dimension_color,first,175,5,R-B,NR-DA,,Aufkleber,sharp
5623,70,10,erdc,2,CF,5,10,2,2,1,3,2,orange,orange,orange,orange,orange,blue,diamond,heart,heart,star,quadrat,star,sharp,dimension_color,first,13,5,R-B,NR-BA,,Aufkleber,sharp
5624,70,13,zrdc,2,C,8,9,9,10,10,10,3,brown,orange,orange,orange,orange,orange,quadrat,triangle,circle,heart,quadrat,diamond,sharp,dimension_color,second,97,8,NR-B,R-CB,,Aufkleber,sharp
5625,70,17,zrcf,2,F,7,10,3,9,2,9,3,black,black,black,black,black,orange,star,diamond,diamond,diamond,diamond,diamond,sharp,color_form,second,204,7,,NR-EB,R-BE,Aufkleber,sharp
5626,70,9,zrcf,2,F,7,9,10,1,2,3,2,brown,brown,brown,brown,brown,green,circle,heart,heart,heart,heart,heart,sharp,color_form,second,222,7,,NR-CF,R-CF,Aufkleber,sharp
5627,70,15,erdf,2,CF,6,9,1,2,1,2,2,black,black,black,green,orange,brown,heart,heart,heart,heart,heart,triangle,sharp,dimension_form,first,149,6,R-B,,NR-FA,Aufkleber,sharp
5628,70,24,brdc,2,CF,2,10,9,1,2,10,1,green,blue,green,green,blue,blue,star,heart,star,circle,quadrat,quadrat,sharp,dimension_color,both,154,2,BR-A,BR-FA,,Aufkleber,sharp
5629,70,23,erdf,2,CF,6,10,2,3,2,3,1,brown,orange,green,orange,grey,brown,star,star,star,star,star,quadrat,sharp,dimension_form,first,131,6,R-B,,NR-ED,Aufkleber,sharp
5630,70,8,zrdc,2,C,8,9,9,9,10,9,2,orange,black,black,black,black,black,quadrat,quadrat,triangle,diamond,quadrat,heart,sharp,dimension_color,second,196,8,NR-B,R-BE,,Aufkleber,sharp
5631,70,6,ercf,2,C,4,3,9,10,10,2,3,green,blue,blue,blue,blue,blue,heart,heart,heart,heart,heart,triangle,sharp,color_form,first,138,4,,R-FA,NR-FA,Aufkleber,sharp
5632,70,5,brdc,2,CF,2,10,10,1,3,9,3,grey,black,grey,grey,black,black,quadrat,quadrat,heart,diamond,circle,diamond,sharp,dimension_color,both,109,2,BR-B,BR-DE,,Aufkleber,sharp
5633,70,26,erdf,2,CF,6,10,3,1,3,1,3,grey,black,green,black,grey,blue,diamond,diamond,diamond,diamond,diamond,star,sharp,dimension_form,first,212,6,R-B,,NR-EB,Aufkleber,sharp
5634,70,23,brdf,2,CF,3,10,10,2,3,9,3,black,black,green,orange,green,blue,star,quadrat,star,star,quadrat,quadrat,sharp,dimension_form,both,128,3,BR-B,,BR-ED,Aufkleber,sharp
5635,70,24,zrdc,2,C,8,9,10,9,10,10,2,green,blue,blue,blue,blue,blue,star,heart,diamond,heart,quadrat,quadrat,sharp,dimension_color,second,160,8,NR-A,R-FA,,Aufkleber,sharp
5636,70,4,brdf,2,CF,3,10,9,1,2,9,2,orange,orange,grey,blue,grey,blue,circle,diamond,circle,circle,diamond,diamond,sharp,dimension_form,both,83,3,BR-A,,BR-BC,Aufkleber,sharp
5637,70,20,zrdf,2,F,9,10,10,10,10,10,1,orange,brown,grey,green,orange,orange,quadrat,circle,circle,circle,circle,circle,sharp,dimension_form,second,53,9,NR-B,,R-DC,Aufkleber,sharp
5638,70,10,brdc,2,CF,2,9,10,1,2,10,1,orange,blue,orange,orange,blue,blue,quadrat,quadrat,triangle,quadrat,heart,triangle,sharp,dimension_color,both,10,2,BR-B,BR-BA,,Aufkleber,sharp
5639,70,5,erdc,2,CF,5,10,1,3,1,2,3,grey,grey,grey,grey,grey,black,heart,diamond,triangle,circle,heart,circle,sharp,dimension_color,first,112,5,R-B,NR-DE,,Aufkleber,sharp
5640,70,23,zrdf,2,F,9,10,9,9,10,10,1,brown,green,green,green,green,grey,star,quadrat,quadrat,quadrat,quadrat,quadrat,sharp,dimension_form,second,134,9,NR-B,,R-ED,Aufkleber,sharp
5641,71,12,zrcf,3,F,7,2,10,10,3,9,2,green,green,green,green,green,black,star,heart,heart,heart,heart,heart,sharp,color_form,second,69,7,,NR-FE,R-EF,Aufkleber,sharp
5642,71,16,zrdf,3,F,9,10,9,10,10,9,2,brown,grey,blue,brown,brown,grey,triangle,quadrat,quadrat,quadrat,quadrat,quadrat,sharp,dimension_form,second,179,9,NR-B,,R-AD,Aufkleber,sharp
5643,71,25,erdc,3,DCF,5,9,2,2,2,2,3,grey,grey,grey,grey,grey,blue,circle,triangle,quadrat,quadrat,quadrat,star,sharp,dimension_color,first,184,5,R-A,NR-DA,,Aufkleber,sharp
5644,71,2,brdf,3,C,3,10,10,2,3,9,3,green,green,green,grey,black,grey,circle,quadrat,circle,circle,quadrat,quadrat,sharp,dimension_form,both,29,3,BR-B,,BR-CD,Aufkleber,sharp
5645,71,8,zrdf,3,C,9,9,9,9,10,9,2,orange,blue,brown,orange,blue,orange,star,diamond,diamond,diamond,diamond,diamond,sharp,dimension_form,second,197,9,NR-B,,R-BE,Aufkleber,sharp
5646,71,13,brdf,3,DC,3,9,9,2,3,9,1,grey,orange,grey,orange,grey,grey,circle,diamond,circle,circle,diamond,diamond,sharp,dimension_form,both,92,3,BR-B,,BR-BC,Aufkleber,sharp
5647,71,25,brdc,3,DCF,2,9,9,1,1,9,2,blue,grey,blue,blue,grey,grey,heart,quadrat,triangle,diamond,triangle,circle,sharp,dimension_color,both,181,2,BR-A,BR-AD,,Aufkleber,sharp
5648,71,21,zrdf,3,F,9,10,10,9,9,10,1,brown,grey,green,green,blue,green,heart,star,star,star,star,star,sharp,dimension_form,second,80,9,NR-A,,R-FE,Aufkleber,sharp
5649,71,10,erdf,3,D,6,10,2,2,1,3,2,black,black,green,orange,brown,blue,triangle,triangle,triangle,triangle,triangle,diamond,sharp,dimension_form,first,14,6,R-B,,NR-AB,Aufkleber,sharp
5650,71,3,zrdc,3,C,8,10,10,10,9,9,3,black,green,green,green,green,green,star,heart,quadrat,circle,heart,quadrat,sharp,dimension_color,second,61,8,NR-A,R-EF,,Aufkleber,sharp
5651,71,11,erdc,3,D,5,10,1,2,2,3,1,grey,grey,grey,grey,grey,brown,circle,star,heart,quadrat,quadrat,quadrat,sharp,dimension_color,first,40,5,R-A,NR-DC,,Aufkleber,sharp
5652,71,8,brdf,3,DF,3,9,10,1,3,9,2,orange,blue,black,blue,grey,black,star,diamond,star,star,diamond,diamond,sharp,dimension_form,both,191,3,BR-B,,BR-BE,Aufkleber,sharp
5653,71,17,erdc,3,D,5,10,2,1,3,1,1,black,black,black,black,black,orange,heart,star,diamond,heart,quadrat,diamond,sharp,dimension_color,first,202,5,R-A,NR-EB,,Aufkleber,sharp
5654,71,8,erdf,3,D,6,9,2,1,3,1,3,brown,green,green,orange,blue,grey,star,star,star,star,star,diamond,sharp,dimension_form,first,194,6,R-B,,NR-BE,Aufkleber,sharp
5655,71,4,ercf,3,C,4,9,10,3,1,2,10,orange,brown,brown,brown,brown,brown,circle,circle,circle,circle,circle,diamond,sharp,color_form,first,84,4,,R-BC,NR-BC,Aufkleber,sharp
5656,71,27,erdf,3,D,6,10,3,1,1,3,2,green,blue,brown,grey,brown,grey,heart,heart,heart,heart,heart,circle,sharp,dimension_form,first,239,6,R-A,,NR-FC,Aufkleber,sharp
5657,71,24,brdf,3,DF,3,10,9,1,2,10,1,blue,blue,grey,grey,blue,orange,triangle,heart,triangle,triangle,heart,heart,sharp,dimension_form,both,155,3,BR-A,,BR-AF,Aufkleber,sharp
5658,71,19,brdc,3,DC,2,10,10,1,2,9,3,blue,orange,blue,blue,orange,orange,triangle,star,star,heart,quadrat,quadrat,sharp,dimension_color,both,19,2,BR-A,BR-AB,,Aufkleber,sharp
5659,71,25,zrdc,3,C,8,10,10,9,10,9,3,blue,grey,grey,grey,grey,grey,circle,quadrat,diamond,quadrat,quadrat,diamond,sharp,dimension_color,second,187,8,NR-A,R-AD,,Aufkleber,sharp
5660,71,22,zrdc,3,C,8,10,10,9,9,9,1,orange,brown,brown,brown,brown,brown,star,heart,circle,quadrat,quadrat,circle,sharp,dimension_color,second,106,8,NR-A,R-BC,,Aufkleber,sharp
5661,71,16,erdf,3,D,6,9,1,1,3,2,2,grey,orange,orange,blue,blue,brown,triangle,triangle,triangle,triangle,triangle,quadrat,sharp,dimension_form,first,176,6,R-B,,NR-AD,Aufkleber,sharp
5662,71,6,zrdc,3,C,8,9,10,9,10,10,3,green,blue,blue,blue,blue,blue,circle,circle,triangle,circle,triangle,star,sharp,dimension_color,second,142,8,NR-A,R-FA,,Aufkleber,sharp
5663,71,13,erdf,3,C,6,10,1,2,3,3,2,brown,orange,blue,green,blue,brown,circle,circle,circle,circle,circle,diamond,sharp,dimension_form,first,95,6,R-B,,NR-BC,Aufkleber,sharp
5664,71,24,zrdf,3,F,9,9,10,9,10,10,2,black,grey,green,green,black,brown,triangle,heart,heart,heart,heart,heart,sharp,dimension_form,second,161,9,NR-A,,R-AF,Aufkleber,sharp
5665,71,5,erdf,3,CF,6,10,1,3,1,2,3,blue,black,green,green,black,brown,quadrat,quadrat,quadrat,quadrat,quadrat,star,sharp,dimension_form,first,113,6,R-B,,NR-DE,Aufkleber,sharp
5666,71,1,zrcf,3,F,7,2,2,1,3,2,3,blue,blue,blue,blue,blue,orange,triangle,diamond,diamond,diamond,diamond,diamond,sharp,color_form,second,6,7,,NR-AB,R-AB,Aufkleber,sharp
5667,71,18,ercf,3,C,4,1,10,3,3,10,1,green,brown,brown,brown,brown,brown,circle,circle,circle,circle,circle,heart,sharp,color_form,first,228,4,,R-FC,NR-CF,Aufkleber,sharp
5668,71,21,brdf,3,DF,3,9,9,3,2,9,2,brown,grey,grey,green,brown,green,heart,star,heart,heart,star,star,sharp,dimension_form,both,74,3,BR-A,,BR-FE,Aufkleber,sharp
5669,71,14,erdc,3,D,5,9,3,3,1,3,2,black,black,black,black,black,grey,triangle,diamond,heart,quadrat,diamond,diamond,sharp,dimension_color,first,121,5,R-A,NR-ED,,Aufkleber,sharp
5670,71,9,zrdc,3,C,8,10,9,9,9,9,1,brown,green,green,green,green,green,quadrat,triangle,diamond,circle,quadrat,heart,sharp,dimension_color,second,223,8,NR-A,R-CF,,Aufkleber,sharp
5671,71,20,ercf,3,C,4,3,1,3,2,3,3,brown,grey,grey,grey,grey,grey,quadrat,quadrat,quadrat,quadrat,quadrat,circle,sharp,color_form,first,48,4,,R-CD,NR-DC,Aufkleber,sharp
5672,71,9,brdc,3,DC,2,10,10,3,1,10,2,brown,green,brown,brown,green,green,diamond,circle,diamond,quadrat,diamond,quadrat,sharp,dimension_color,both,217,2,BR-A,BR-CF,,Aufkleber,sharp
5673,71,15,ercf,3,C,4,1,9,1,3,10,1,blue,green,green,green,green,green,heart,heart,heart,heart,heart,triangle,sharp,color_form,first,147,4,,R-AF,NR-FA,Aufkleber,sharp
5674,71,24,erdf,3,DC,6,9,2,3,2,3,1,brown,black,blue,orange,orange,orange,triangle,triangle,triangle,triangle,triangle,heart,sharp,dimension_form,first,158,6,R-A,,NR-AF,Aufkleber,sharp
5675,71,26,ercf,3,C,4,2,10,1,10,9,2,orange,black,black,black,black,black,diamond,diamond,diamond,diamond,diamond,star,sharp,color_form,first,210,4,,R-BE,NR-EB,Aufkleber,sharp
5676,71,12,brcf,3,DF,1,3,10,2,9,9,10,green,green,black,black,green,black,star,heart,star,star,heart,heart,sharp,color_form,both,63,1,,BR-FE,BR-EF,Aufkleber,sharp
5677,71,7,brcf,3,DC,1,3,2,10,9,2,3,blue,blue,grey,grey,blue,grey,triangle,quadrat,triangle,triangle,quadrat,quadrat,sharp,color_form,both,162,1,,BR-AD,BR-AD,Aufkleber,sharp
5678,71,19,zrdc,3,C,8,9,9,10,9,10,3,blue,orange,orange,orange,orange,orange,heart,diamond,diamond,diamond,circle,triangle,sharp,dimension_color,second,25,8,NR-A,R-AB,,Aufkleber,sharp
5679,71,14,zrdc,3,C,8,9,9,9,10,9,2,black,grey,grey,grey,grey,grey,circle,quadrat,quadrat,quadrat,diamond,diamond,sharp,dimension_color,second,124,8,NR-A,R-ED,,Aufkleber,sharp
5680,71,19,erdc,3,D,5,10,1,3,2,2,1,orange,orange,orange,orange,orange,blue,diamond,triangle,circle,star,circle,quadrat,sharp,dimension_color,first,22,5,R-A,NR-BA,,Aufkleber,sharp
5681,71,22,erdc,3,D,5,10,1,3,3,1,1,brown,brown,brown,brown,brown,orange,quadrat,triangle,quadrat,quadrat,triangle,quadrat,sharp,dimension_color,first,103,5,R-A,NR-CB,,Aufkleber,sharp
5682,71,21,erdf,3,D,6,10,2,3,3,1,3,brown,grey,green,black,grey,grey,heart,heart,heart,heart,heart,star,sharp,dimension_form,first,77,6,R-A,,NR-FE,Aufkleber,sharp
5683,71,14,brdc,3,DC,2,10,10,2,2,10,2,black,grey,black,black,grey,grey,heart,quadrat,diamond,heart,star,star,sharp,dimension_color,both,118,2,BR-A,BR-ED,,Aufkleber,sharp
5684,71,27,zrdf,3,F,9,10,10,10,9,10,1,orange,grey,blue,orange,brown,black,heart,circle,circle,circle,circle,circle,sharp,dimension_form,second,242,9,NR-A,,R-FC,Aufkleber,sharp
5685,71,26,brcf,3,CF,1,1,1,2,2,2,3,orange,orange,black,black,orange,black,diamond,star,diamond,diamond,star,star,sharp,color_form,both,207,1,,BR-BE,BR-EB,Aufkleber,sharp
5686,71,26,zrcf,3,F,7,3,2,2,3,3,10,black,black,black,black,black,orange,diamond,star,star,star,star,star,sharp,color_form,second,213,7,,NR-EB,R-EB,Aufkleber,sharp
5687,71,2,erdf,3,D,6,10,2,2,2,3,2,blue,grey,black,black,brown,blue,circle,circle,circle,circle,circle,quadrat,sharp,dimension_form,first,32,6,R-B,,NR-CD,Aufkleber,sharp
5688,71,16,brdf,3,DF,3,10,9,3,2,10,2,green,black,green,blue,green,blue,triangle,quadrat,triangle,triangle,quadrat,quadrat,sharp,dimension_form,both,173,3,BR-B,,BR-AD,Aufkleber,sharp
5689,71,5,zrdf,3,F,9,10,10,9,9,10,3,brown,brown,grey,brown,green,orange,quadrat,star,star,star,star,star,sharp,dimension_form,second,116,9,NR-B,,R-DE,Aufkleber,sharp
5690,71,15,zrcf,3,F,7,10,9,10,9,1,3,blue,blue,blue,blue,blue,green,heart,triangle,triangle,triangle,triangle,triangle,sharp,color_form,second,150,7,,NR-AF,R-FA,Aufkleber,sharp
5691,71,5,brdf,3,DF,3,10,10,1,3,9,3,brown,brown,green,blue,blue,blue,quadrat,star,quadrat,quadrat,star,star,sharp,dimension_form,both,110,3,BR-B,,BR-DE,Aufkleber,sharp
5692,71,6,brdc,3,DC,2,9,9,1,2,9,1,green,blue,green,green,blue,blue,diamond,quadrat,diamond,quadrat,circle,circle,sharp,dimension_color,both,136,2,BR-A,BR-FA,,Aufkleber,sharp
5693,71,20,zrcf,3,F,7,3,1,1,9,1,3,grey,grey,grey,grey,grey,brown,quadrat,circle,circle,circle,circle,circle,sharp,color_form,second,51,7,,NR-DC,R-DC,Aufkleber,sharp
5694,71,7,ercf,3,C,4,10,10,3,3,1,1,blue,grey,grey,grey,grey,grey,triangle,triangle,triangle,triangle,triangle,quadrat,sharp,color_form,first,165,4,,R-AD,NR-AD,Aufkleber,sharp
5695,71,9,erdc,3,D,5,10,2,1,1,3,1,brown,brown,brown,brown,brown,green,triangle,quadrat,diamond,quadrat,triangle,circle,sharp,dimension_color,first,220,5,R-A,NR-CF,,Aufkleber,sharp
5696,71,3,brdc,3,DC,2,10,10,3,2,9,1,black,green,black,black,green,green,star,quadrat,quadrat,circle,star,triangle,sharp,dimension_color,both,55,2,BR-A,BR-EF,,Aufkleber,sharp
5697,71,11,brdc,3,DC,2,10,10,1,3,9,2,grey,brown,grey,grey,brown,brown,quadrat,triangle,triangle,triangle,diamond,quadrat,sharp,dimension_color,both,37,2,BR-A,BR-DC,,Aufkleber,sharp
5698,71,22,brdc,3,DC,2,9,9,1,1,10,3,orange,brown,orange,orange,brown,brown,quadrat,star,quadrat,diamond,triangle,quadrat,sharp,dimension_color,both,100,2,BR-A,BR-BC,,Aufkleber,sharp
5699,71,23,zrcf,3,F,7,3,2,2,2,3,10,black,black,black,black,black,grey,star,quadrat,quadrat,quadrat,quadrat,quadrat,sharp,color_form,second,132,7,,NR-ED,R-ED,Aufkleber,sharp
5700,71,18,zrcf,3,F,7,2,1,2,9,10,1,green,green,green,green,green,brown,circle,heart,heart,heart,heart,heart,sharp,color_form,second,231,7,,NR-FC,R-CF,Aufkleber,sharp
5701,71,1,brcf,3,CF,1,9,10,2,9,2,2,blue,blue,orange,orange,blue,orange,triangle,diamond,triangle,triangle,diamond,diamond,sharp,color_form,both,0,1,,BR-AB,BR-AB,Aufkleber,sharp
5702,71,10,zrdf,3,C,9,10,10,9,9,10,3,orange,brown,blue,green,green,black,triangle,diamond,diamond,diamond,diamond,diamond,sharp,dimension_form,second,17,9,NR-B,,R-AB,Aufkleber,sharp
5703,71,6,erdc,3,D,5,9,2,2,1,3,1,green,green,green,green,green,blue,heart,triangle,quadrat,triangle,star,circle,sharp,dimension_color,first,139,5,R-A,NR-FA,,Aufkleber,sharp
5704,71,23,brcf,3,CF,1,3,10,3,3,10,2,grey,grey,black,black,grey,black,star,quadrat,star,star,quadrat,quadrat,sharp,color_form,both,126,1,,BR-DE,BR-ED,Aufkleber,sharp
5705,71,4,brcf,3,CF,1,9,3,1,3,10,2,orange,orange,brown,brown,orange,brown,circle,diamond,circle,circle,diamond,diamond,sharp,color_form,both,81,1,,BR-BC,BR-BC,Aufkleber,sharp
5706,71,17,zrdc,3,C,8,9,10,9,9,9,1,black,orange,orange,orange,orange,orange,star,star,diamond,quadrat,star,triangle,sharp,dimension_color,second,205,8,NR-A,R-EB,,Aufkleber,sharp
5707,71,4,zrcf,3,F,7,10,1,3,1,3,3,orange,orange,orange,orange,orange,brown,circle,diamond,diamond,diamond,diamond,diamond,sharp,color_form,second,87,7,,NR-BC,R-BC,Aufkleber,sharp
5708,71,20,brcf,3,CF,1,1,10,1,10,9,2,brown,brown,grey,grey,brown,grey,quadrat,circle,quadrat,quadrat,circle,circle,sharp,color_form,both,45,1,,BR-CD,BR-DC,Aufkleber,sharp
5709,71,15,brcf,3,CF,1,2,3,2,9,3,10,blue,blue,green,green,blue,green,heart,triangle,heart,heart,triangle,triangle,sharp,color_form,both,144,1,,BR-AF,BR-FA,Aufkleber,sharp
5710,71,27,brdf,3,CF,3,9,9,2,1,10,2,brown,brown,grey,green,orange,blue,heart,circle,heart,heart,circle,circle,sharp,dimension_form,both,236,3,BR-A,,BR-FC,Aufkleber,sharp
5711,71,17,brdc,3,DC,2,9,10,3,2,10,2,black,orange,black,black,orange,orange,star,triangle,heart,quadrat,star,heart,sharp,dimension_color,both,199,2,BR-A,BR-EB,,Aufkleber,sharp
5712,71,23,ercf,3,C,4,9,1,1,10,9,3,grey,black,black,black,black,black,star,star,star,star,star,quadrat,sharp,color_form,first,129,4,,R-DE,NR-ED,Aufkleber,sharp
5713,71,18,brcf,3,DF,1,9,1,3,1,1,10,green,green,brown,brown,green,brown,circle,heart,circle,circle,heart,heart,sharp,color_form,both,225,1,,BR-FC,BR-CF,Aufkleber,sharp
5714,71,2,zrdf,3,F,9,9,9,10,9,9,1,blue,green,grey,orange,brown,orange,circle,quadrat,quadrat,quadrat,quadrat,quadrat,sharp,dimension_form,second,35,9,NR-B,,R-CD,Aufkleber,sharp
5715,71,13,zrdf,3,F,9,9,9,10,10,10,3,brown,blue,black,green,black,brown,circle,diamond,diamond,diamond,diamond,diamond,sharp,dimension_form,second,98,9,NR-B,,R-BC,Aufkleber,sharp
5716,71,1,ercf,3,C,4,2,10,10,10,9,10,blue,orange,orange,orange,orange,orange,triangle,triangle,triangle,triangle,triangle,diamond,sharp,color_form,first,3,4,,R-AB,NR-AB,Aufkleber,sharp
5717,71,11,zrdc,3,C,8,10,10,10,9,10,1,grey,brown,brown,brown,brown,brown,diamond,heart,diamond,quadrat,diamond,quadrat,sharp,dimension_color,second,43,8,NR-A,R-DC,,Aufkleber,sharp
5718,71,10,brdf,3,DC,3,9,10,1,2,10,1,orange,grey,brown,green,green,grey,triangle,diamond,triangle,triangle,diamond,diamond,sharp,dimension_form,both,11,3,BR-B,,BR-AB,Aufkleber,sharp
5719,71,3,erdc,3,D,5,9,3,1,3,1,2,black,black,black,black,black,green,heart,star,heart,triangle,star,diamond,sharp,dimension_color,first,58,5,R-A,NR-EF,,Aufkleber,sharp
5720,71,12,ercf,3,C,4,10,3,1,10,2,2,green,black,black,black,black,black,star,star,star,star,star,heart,sharp,color_form,first,66,4,,R-FE,NR-EF,Aufkleber,sharp
5721,71,7,zrcf,3,F,7,10,3,10,9,1,2,blue,blue,blue,blue,blue,grey,triangle,quadrat,quadrat,quadrat,quadrat,quadrat,sharp,color_form,second,168,7,,NR-AD,R-AD,Aufkleber,sharp
5722,72,8,brdc,5,DCF,2,10,9,3,5,10,5,orange,black,orange,orange,black,black,diamond,quadrat,quadrat,quadrat,circle,quadrat,blurred,dimension_color,both,730,2,BR-B,BR-BE,,Aufkleber,blurred
5723,72,3,zrcf,5,DCF,7,9,9,3,3,3,3,black,black,black,black,black,green,star,heart,heart,heart,heart,heart,blurred,color_form,second,600,7,,NR-EF,R-EF,Aufkleber,blurred
5724,72,10,brdc,5,DCF,2,10,9,3,1,10,1,orange,blue,orange,orange,blue,blue,heart,triangle,circle,quadrat,circle,quadrat,blurred,dimension_color,both,550,2,BR-B,BR-BA,,Aufkleber,blurred
5725,72,24,erdc,5,DCF,5,10,1,1,5,5,4,blue,blue,blue,blue,blue,green,circle,diamond,circle,triangle,circle,quadrat,blurred,dimension_color,first,697,5,R-A,NR-AF,,Aufkleber,blurred
5726,72,14,zrcf,5,F,7,2,1,1,9,3,9,black,black,black,black,black,grey,quadrat,star,star,star,star,star,blurred,color_form,second,663,7,,NR-ED,R-DE,Aufkleber,blurred
5727,72,19,ercf,5,C,4,10,2,1,3,10,2,blue,orange,orange,orange,orange,orange,diamond,diamond,diamond,diamond,diamond,triangle,blurred,color_form,first,561,4,,R-AB,NR-BA,Aufkleber,blurred
5728,72,18,erdf,5,DCF,6,9,1,6,1,2,3,green,green,grey,grey,black,green,circle,circle,circle,circle,circle,heart,blurred,dimension_form,first,770,6,R-B,,NR-CF,Aufkleber,blurred
5729,72,19,zrcf,5,F,7,3,10,2,10,3,10,orange,orange,orange,orange,orange,blue,diamond,triangle,triangle,triangle,triangle,triangle,blurred,color_form,second,564,7,,NR-BA,R-BA,Aufkleber,blurred
5730,72,8,erdc,5,DCF,5,10,2,5,3,2,3,orange,orange,orange,orange,orange,black,diamond,quadrat,star,heart,quadrat,diamond,blurred,dimension_color,first,733,5,R-B,NR-BE,,Aufkleber,blurred
5731,72,22,brcf,5,F,1,9,10,9,3,3,9,orange,orange,brown,brown,orange,brown,diamond,circle,diamond,diamond,circle,circle,blurred,color_form,both,639,1,,BR-BC,BR-CB,Aufkleber,blurred
